Date,Time,Consumption,Temperature,Rain,Sun
1/1/2016, 00:00-01:00 ,1480,0.6,0,0
1/1/2016, 01:00-02:00 ,1362,0.6,0,0
1/1/2016, 02:00-03:00 ,1296,0.5,0,0
1/1/2016, 03:00-04:00 ,1096,0,0,0
1/1/2016, 04:00-05:00 ,810,0.3,0,0
1/1/2016, 05:00-06:00 ,474,1,1,0
1/1/2016, 06:00-07:00 ,586,1.9,0,0
1/1/2016, 07:00-08:00 ,437,2.7,0,0
1/1/2016, 08:00-09:00 ,1004,2.9,0,0
1/1/2016, 09:00-10:00 ,1652,3.4,0,0
1/1/2016, 10:00-11:00 ,2409,3.9,0,1
1/1/2016, 11:00-12:00 ,2879,5.1,0,1
1/1/2016, 12:00-13:00 ,3000,5.1,0,2
1/1/2016, 13:00-14:00 ,2889,6,0,2
1/1/2016, 14:00-15:00 ,2748,6.8,0,1
1/1/2016, 15:00-16:00 ,2614,5.9,0,0
1/1/2016, 16:00-17:00 ,2293,5.2,0,0
1/1/2016, 17:00-18:00 ,2223,3.7,0,0
1/1/2016, 18:00-19:00 ,2163,3.2,0,0
1/1/2016, 19:00-20:00 ,2160,3.5,0,0
1/1/2016, 20:00-21:00 ,1913,3.4,0,0
1/1/2016, 21:00-22:00 ,1558,3.3,0,0
1/1/2016, 22:00-23:00 ,1417,4.1,0,0
1/1/2016, 23:00-00:00 ,1296,2.7,0,0
1/2/2016, 00:00-01:00 ,957,4.4,0,0
1/2/2016, 01:00-02:00 ,601,4.9,0,0
1/2/2016, 02:00-03:00 ,680,4.5,0,0
1/2/2016, 03:00-04:00 ,63,4.6,0,0
1/2/2016, 04:00-05:00 ,113,4.7,0,0
1/2/2016, 05:00-06:00 ,287,4.8,0,0
1/2/2016, 06:00-07:00 ,583,4.7,0,0
1/2/2016, 07:00-08:00 ,996,4.4,0,0
1/2/2016, 08:00-09:00 ,1859,4.4,0,0
1/2/2016, 09:00-10:00 ,2967,4.8,0,1
1/2/2016, 10:00-11:00 ,3510,4.9,0,0
1/2/2016, 11:00-12:00 ,3590,4.5,0,0
1/2/2016, 12:00-13:00 ,3398,4.6,1,1
1/2/2016, 13:00-14:00 ,3287,4.8,0,1
1/2/2016, 14:00-15:00 ,2865,4.8,0,0
1/2/2016, 15:00-16:00 ,2607,4.6,0,0
1/2/2016, 16:00-17:00 ,2487,4.1,1,0
1/2/2016, 17:00-18:00 ,2372,3.8,0,0
1/2/2016, 18:00-19:00 ,2419,4,0,0
1/2/2016, 19:00-20:00 ,2327,4,0,0
1/2/2016, 20:00-21:00 ,2136,3.6,0,0
1/2/2016, 21:00-22:00 ,1618,3.8,0,0
1/2/2016, 22:00-23:00 ,1388,4.1,0,0
1/2/2016, 23:00-00:00 ,1444,4.5,0,0
1/3/2016, 00:00-01:00 ,1086,4.5,0,0
1/3/2016, 01:00-02:00 ,742,4.7,0,0
1/3/2016, 02:00-03:00 ,542,4.9,0,0
1/3/2016, 03:00-04:00 ,294,4.9,0,0
1/3/2016, 04:00-05:00 ,41,4.9,0,0
1/3/2016, 05:00-06:00 ,371,5,0,0
1/3/2016, 06:00-07:00 ,548,5.2,0,0
1/3/2016, 07:00-08:00 ,828,5.2,0,0
1/3/2016, 08:00-09:00 ,1471,5,0,0
1/3/2016, 09:00-10:00 ,2555,5.2,1,0
1/3/2016, 10:00-11:00 ,3219,5.3,0,1
1/3/2016, 11:00-12:00 ,3450,5.9,0,1
1/3/2016, 12:00-13:00 ,3600,6.8,0,2
1/3/2016, 13:00-14:00 ,3875,6.9,0,2
1/3/2016, 14:00-15:00 ,2817,6.5,0,1
1/3/2016, 15:00-16:00 ,2695,6,0,0
1/3/2016, 16:00-17:00 ,2549,5.2,0,0
1/3/2016, 17:00-18:00 ,2505,5,0,0
1/3/2016, 18:00-19:00 ,2565,4.9,0,0
1/3/2016, 19:00-20:00 ,2454,4.6,0,0
1/3/2016, 20:00-21:00 ,2279,4.5,0,0
1/3/2016, 21:00-22:00 ,1860,4.7,0,0
1/3/2016, 22:00-23:00 ,1876,5,0,0
1/3/2016, 23:00-00:00 ,1585,4.8,0,0
1/4/2016, 00:00-01:00 ,988,4.5,0,0
1/4/2016, 01:00-02:00 ,789,3.9,0,0
1/4/2016, 02:00-03:00 ,495,3.7,0,0
